pop,s.region,ms,id,rep,mom,year,surv,leaf.num,leaf.length,rack
B42,S.s,S,AW0173,22,AW0173,0,1,10,32,17
B42,S.s,S,AW0173,23,AW0173,0,1,9,25,17
B42,S.s,S,AW0173,24,AW0173,0,1,6,10,17
B42,S.s,S,AW0173,25,AW0173,0,1,3,2,17
B42,S.s,S,AW0173,26,AW0173,0,1,7,20,17
B42,S.s,S,AW0173,27,AW0173,0,1,13,15,17
B42,S.s,S,AW0173,28,AW0173,0,1,6,21,17
B42,S.s,S,AW0173,29,AW0173,0,1,8,25,26
B42,S.s,S,AW0175,3,AW0175,0,1,4,12,26
B42,S.s,S,AW0175,4,AW0175,0,1,5,15,26
B42,S.s,S,AW0175,6,AW0175,0,1,3,7,26
B42,S.s,S,AW0175,7,AW0175,0,1,12,11,26
B42,S.s,S,AW0175,12,AW0175,0,1,11,27,26
B42,S.s,S,AW0175,17,AW0175,0,1,4,12,26
B42,S.s,S,AW0175,18,AW0175,0,1,6,10,26
B42,S.s,S,AW0175,19,AW0175,0,1,7,9,33
B42,S.s,S,AW0175,24,AW0175,0,1,10,32,33
B42,S.s,S,AW0175,26,AW0175,0,1,5,13,33
B42,S.s,S,AW0175,31,AW0175,0,1,10,14,33
B42,S.s,S,AW0176,1,AW0176,0,1,6,18,38
B42,S.s,S,AW0176,2,AW0176,0,1,4,6,38
B42,S.s,S,AW0176,3,AW0176,0,1,7,35,38
B42,S.s,S,AW0176,4,AW0176,0,1,9,35,38
B42,S.s,S,AW0176,5,AW0176,0,1,5,20,4
B42,S.s,S,AW0176,6,AW0176,0,1,8,24,4
B42,S.s,S,AW0176,7,AW0176,0,1,4,10,4
B42,S.s,S,AW0176,9,AW0176,0,1,4,18,4
B42,S.s,S,AW0176,10,AW0176,0,1,6,10,15
B42,S.s,S,AW0176,11,AW0176,0,1,6,13,15
B42,S.s,S,AW0176,12,AW0176,0,1,11,30,15
B42,S.s,S,AW0176,13,AW0176,0,1,11,26,15
B42,S.s,S,AW0176,14,AW0176,0,1,6,19,17
B42,S.s,S,AW0176,15,AW0176,0,1,5,15,17
B42,S.s,S,AW0176,16,AW0176,0,1,5,12,17
B42,S.s,S,AW0176,18,AW0176,0,1,11,35,17
B42,S.s,S,AW0176,23,AW0176,0,1,5,15,17
B42,S.s,S,AW0176,24,AW0176,0,1,12,27,17
B42,S.s,S,AW0176,25,AW0176,0,1,5,12,17
B42,S.s,S,AW0176,26,AW0176,0,1,5,12,17
B42,S.s,S,AW0176,27,AW0176,0,1,5,12,26
B42,S.s,S,AW0176,30,AW0176,0,1,9,24,26
B42,S.s,S,AW0176,31,AW0176,0,1,4,7,26
B42,S.s,S,AW0176,32,AW0176,0,1,5,18,26
L11,SO.s,S,AW0186,1,AW0186,0,1,11,15,33
L11,SO.s,S,AW0186,2,AW0186,0,1,11,17,33
L11,SO.s,S,AW0186,3,AW0186,0,1,12,31,33
L11,SO.s,S,AW0186,4,AW0186,0,1,5,11,33
L11,SO.s,S,AW0186,5,AW0186,0,1,11,19,36
L11,SO.s,S,AW0186,6,AW0186,0,1,5,14,36
L11,SO.s,S,AW0186,7,AW0186,0,1,11,25,36
L11,SO.s,S,AW0186,8,AW0186,0,1,8,16,36
L11,SO.s,S,AW0186,9,AW0186,0,1,6,12,36
L11,SO.s,S,AW0186,11,AW0186,0,1,5,14,36
L11,SO.s,S,AW0186,12,AW0186,0,1,3,4,36
L11,SO.s,S,AW0186,15,AW0186,0,1,5,17,36
L11,SO.s,S,AW0186,16,AW0186,0,1,5,11,5
L11,SO.s,S,AW0186,18,AW0186,0,1,5,10,5
L11,SO.s,S,AW0186,19,AW0186,0,1,4,9,5
L11,SO.s,S,AW0186,20,AW0186,0,1,6,14,5
L11,SO.s,S,AW0186,21,AW0186,0,1,5,15,7
L11,SO.s,S,AW0186,26,AW0186,0,1,9,15,7
L11,SO.s,S,AW0186,27,AW0186,0,1,4,6,7
L11,SO.s,S,AW0186,28,AW0186,0,1,4,11,7
L11,SO.s,S,AW0186,29,AW0186,0,1,5,13,13
L11,SO.s,S,AW0186,30,AW0186,0,1,6,10,13
L11,SO.s,S,AW0186,31,AW0186,0,1,2,6,13
L11,SO.s,S,AW0186,32,AW0186,0,1,4,7,13
L11,SO.s,S,AW0188,1,AW0188,0,1,7,8,15
L11,SO.s,S,AW0188,2,AW0188,0,1,6,12,15
L11,SO.s,S,AW0188,4,AW0188,0,1,6,14,15
L11,SO.s,S,AW0188,6,AW0188,0,1,5,11,15
L11,SO.s,S,AW0188,7,AW0188,0,1,14,19,20
L11,SO.s,S,AW0188,8,AW0188,0,1,12,29,20
L11,SO.s,S,AW0188,9,AW0188,0,1,6,16,20
L11,SO.s,S,AW0188,10,AW0188,0,1,8,20,20
L11,SO.s,S,AW0188,13,AW0188,0,1,9,25,21
L11,SO.s,S,AW0188,14,AW0188,0,1,14,25,21
L11,SO.s,S,AW0188,15,AW0188,0,1,6,15,21
L11,SO.s,S,AW0188,16,AW0188,0,1,5,10,21
L11,SO.s,S,AW0188,17,AW0188,0,1,5,10,44
L11,SO.s,S,AW0188,18,AW0188,0,1,5,10,44
L11,SO.s,S,AW0188,19,AW0188,0,1,5,8,44
L11,SO.s,S,AW0188,20,AW0188,0,1,9,15,44
L11,SO.s,S,AW0188,21,AW0188,0,1,4,5,44
L11,SO.s,S,AW0188,22,AW0188,0,1,4,5,44
L11,SO.s,S,AW0188,23,AW0188,0,1,8,14,44
L11,SO.s,S,AW0188,25,AW0188,0,1,4,5,44
L11,SO.s,S,AW0188,26,AW0188,0,1,3,4,3
L11,SO.s,S,AW0188,29,AW0188,0,1,5,10,3
L11,SO.s,S,AW0188,30,AW0188,0,1,4,8,3
L11,SO.s,S,AW0188,32,AW0188,0,1,5,10,3
L11,SO.s,S,AW0189,5,AW0189,0,1,5,16,7
L11,SO.s,S,AW0191,1,AW0191,0,1,14,23,7
L11,SO.s,S,AW0191,2,AW0191,0,1,13,21,7
L11,SO.s,S,AW0191,3,AW0191,0,1,6,18,7
L11,SO.s,S,AW0191,5,AW0191,0,1,9,19,20
L11,SO.s,S,AW0191,6,AW0191,0,1,12,20,20
L11,SO.s,S,AW0191,7,AW0191,0,1,4,5,20
L11,SO.s,S,AW0191,8,AW0191,0,1,13,19,20
L11,SO.s,S,AW0191,9,AW0191,0,1,5,5,21
L11,SO.s,S,AW0191,11,AW0191,0,1,4,4,21
L11,SO.s,S,AW0191,13,AW0191,0,1,8,23,21
L11,SO.s,S,AW0191,14,AW0191,0,1,10,19,21
L11,SO.s,S,AW0191,15,AW0191,0,1,3,6,22
L11,SO.s,S,AW0191,16,AW0191,0,1,10,30,22
L11,SO.s,S,AW0191,17,AW0191,0,1,5,11,22
L11,SO.s,S,AW0191,18,AW0191,0,1,4,4,22
L11,SO.s,S,AW0191,19,AW0191,0,1,4,5,23
L11,SO.s,S,AW0191,20,AW0191,0,1,5,12,23
L11,SO.s,S,AW0191,21,AW0191,0,1,4,5,23
