pop,ms,s.region,mom,rep,id,A.D.NA,surv,surv.to.seedling,rack
C86,A,A.s,EH0069,28,EH0069.28,A,1,1,40
C86,A,A.s,EH0069,29,EH0069.29,A,1,1,44
C86,A,A.s,EH0069,30,EH0069.30,NA,NA,0,44
C86,A,A.s,EH0069,31,EH0069.31,NA,NA,0,44
C86,A,A.s,EH0069,32,EH0069.32,NA,NA,0,44
C86,A,A.s,EH0072,1,EH0072.1,D,0,0,3
C86,A,A.s,EH0072,2,EH0072.2,A,1,1,3
C86,A,A.s,EH0072,3,EH0072.3,A,1,1,3
C86,A,A.s,EH0072,4,EH0072.4,A,1,1,3
C86,A,A.s,EH0072,5,EH0072.5,A,1,1,6
C86,A,A.s,EH0072,6,EH0072.6,NA,NA,0,6
C86,A,A.s,EH0072,7,EH0072.7,NA,NA,0,6
C86,A,A.s,EH0072,8,EH0072.8,NA,NA,0,6
C86,A,A.s,EH0072,9,EH0072.9,NA,NA,0,7
C86,A,A.s,EH0072,10,EH0072.10,A,1,1,7
C86,A,A.s,EH0072,11,EH0072.11,A,1,1,7
C86,A,A.s,EH0072,12,EH0072.12,NA,NA,0,7
C86,A,A.s,EH0072,13,EH0072.13,NA,NA,0,9
C86,A,A.s,EH0072,14,EH0072.14,NA,NA,0,9
C86,A,A.s,EH0072,15,EH0072.15,NA,NA,0,9
C86,A,A.s,EH0072,16,EH0072.16,A,1,1,9
C86,A,A.s,EH0072,17,EH0072.17,NA,NA,0,27
C86,A,A.s,EH0072,18,EH0072.18,A,1,1,27
C86,A,A.s,EH0072,19,EH0072.19,?,NA,0,27
C86,A,A.s,EH0072,20,EH0072.20,A,1,1,27
C86,A,A.s,EH0072,21,EH0072.21,NA,NA,0,33
C86,A,A.s,EH0072,22,EH0072.22,NA,NA,0,33
C86,A,A.s,EH0072,23,EH0072.23,A,1,1,33
C86,A,A.s,EH0072,24,EH0072.24,A,1,1,33
C86,A,A.s,EH0072,25,EH0072.25,NA,NA,0,39
C86,A,A.s,EH0072,26,EH0072.26,A,1,1,39
C86,A,A.s,EH0072,27,EH0072.27,A,1,1,39
C86,A,A.s,EH0072,28,EH0072.28,A,1,1,39
C86,A,A.s,EH0072,29,EH0072.29,A,1,1,44
C86,A,A.s,EH0072,30,EH0072.30,A,1,1,44
C86,A,A.s,EH0072,31,EH0072.31,NA,NA,0,44
C86,A,A.s,EH0072,32,EH0072.32,NA,NA,0,44
C85,A,A.s,EH0073,1,EH0073.1,NA,NA,0,3
C85,A,A.s,EH0073,2,EH0073.2,A,1,1,3
C85,A,A.s,EH0073,3,EH0073.3,A,1,1,3
C85,A,A.s,EH0073,4,EH0073.4,A,1,1,3
C85,A,A.s,EH0073,5,EH0073.5,NA,NA,0,14
C85,A,A.s,EH0073,6,EH0073.6,A,1,1,14
C85,A,A.s,EH0073,7,EH0073.7,A,1,1,14
C85,A,A.s,EH0073,8,EH0073.8,A,1,1,14
C85,A,A.s,EH0073,9,EH0073.9,A,1,1,19
C85,A,A.s,EH0073,10,EH0073.10,NA,NA,0,19
C85,A,A.s,EH0073,11,EH0073.11,NA,NA,0,19
C85,A,A.s,EH0073,12,EH0073.12,NA,NA,0,19
C85,A,A.s,EH0073,13,EH0073.13,A,1,1,34
C85,A,A.s,EH0073,14,EH0073.14,A,1,1,34
C85,A,A.s,EH0073,15,EH0073.15,NA,NA,0,34
C85,A,A.s,EH0073,16,EH0073.16,NA,NA,0,34
C85,A,A.s,EH0073,17,EH0073.17,A,1,1,39
C85,A,A.s,EH0073,18,EH0073.18,A,1,1,39
C85,A,A.s,EH0073,19,EH0073.19,NA,NA,0,39
C85,A,A.s,EH0073,20,EH0073.20,NA,NA,0,39
C85,A,A.s,EH0073,21,EH0073.21,A,1,1,41
C85,A,A.s,EH0073,22,EH0073.22,A,1,1,41
C85,A,A.s,EH0073,23,EH0073.23,A,1,1,41
C85,A,A.s,EH0073,24,EH0073.24,A,1,1,41
C85,A,A.s,EH0073,25,EH0073.25,A,1,1,42
C85,A,A.s,EH0073,26,EH0073.26,A,1,1,42
C85,A,A.s,EH0073,27,EH0073.27,A,1,1,42
C85,A,A.s,EH0073,28,EH0073.28,?,NA,0,42
C85,A,A.s,EH0073,29,EH0073.29,A,1,1,44
C85,A,A.s,EH0073,30,EH0073.30,NA,NA,0,44
C85,A,A.s,EH0073,31,EH0073.31,NA,NA,0,44
C85,A,A.s,EH0073,32,EH0073.32,NA,NA,0,44
C85,A,A.s,EH0074,1,EH0074.1,A,1,1,4
C85,A,A.s,EH0074,2,EH0074.2,A,1,1,4
C85,A,A.s,EH0074,3,EH0074.3,A,1,1,4
C85,A,A.s,EH0074,4,EH0074.4,A,1,1,4
C85,A,A.s,EH0074,5,EH0074.5,A,1,1,7
C85,A,A.s,EH0074,6,EH0074.6,A,1,1,7
C85,A,A.s,EH0074,7,EH0074.7,A,1,1,7
C85,A,A.s,EH0074,8,EH0074.8,NA,NA,0,7
C85,A,A.s,EH0074,9,EH0074.9,NA,NA,0,13
C85,A,A.s,EH0074,10,EH0074.10,A,1,1,13
C85,A,A.s,EH0074,11,EH0074.11,A,1,1,13
C85,A,A.s,EH0074,12,EH0074.12,NA,NA,0,13
C85,A,A.s,EH0074,13,EH0074.13,?,NA,0,19
C85,A,A.s,EH0074,14,EH0074.14,?,NA,0,19
C85,A,A.s,EH0074,15,EH0074.15,?,NA,0,19
C85,A,A.s,EH0074,16,EH0074.16,?,NA,0,19
C85,A,A.s,EH0074,17,EH0074.17,A,1,1,21
C85,A,A.s,EH0074,18,EH0074.18,A,1,1,21
C85,A,A.s,EH0074,19,EH0074.19,A,1,1,21
C85,A,A.s,EH0074,20,EH0074.20,A,1,1,21
C85,A,A.s,EH0074,21,EH0074.21,A,1,1,22
C85,A,A.s,EH0074,22,EH0074.22,A,1,1,22
C85,A,A.s,EH0074,23,EH0074.23,A,1,1,22
C85,A,A.s,EH0074,24,EH0074.24,NA,NA,0,22
C85,A,A.s,EH0074,25,EH0074.25,NA,NA,0,24
C85,A,A.s,EH0074,26,EH0074.26,NA,NA,0,24
